reaction_ammo

[OBJECT:REACTION]

[REACTION:MANUFACTURE_AMMO_SMALL_LOW_QUALITY]
	[NAME:make 150 small caliber ammo from non-weapon metal]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_L]
	[REAGENT:A:150:BAR:NONE:INORGANIC:IRON]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SHELL_SLUG_STEEL_PRISM]
	[NAME:make 100 steel shotgun slugs (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_G]
	[REAGENT:A:150:BAR:NONE:INORGANIC:STEEL]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SHELL_SLUG_STELLARITE_PRISM]
	[NAME:make 100 stellarite shotgun slugs (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_ALT_G]
	[REAGENT:A:150:BAR:NONE:INORGANIC:STELLARITE]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]
	
[REACTION:MANUFACTURE_AMMO_LARGE_LOW_QUALITY_PRISM]
	[NAME:make 28 large caliber ammo from non-weapon metal (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_ALT_L]
	[REAGENT:A:150:BAR:NONE:NONE:NONE][REACTION_CLASS:WEAPON_METAL_LOW]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:3:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_LARGE_BRONZE_PRISM]
	[NAME:make 28 bronze large caliber ammo (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_L]
	[REAGENT:A:150:BAR:NONE:INORGANIC:BRONZE]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:3:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_LARGE_IRON_PRISM]
	[NAME:make 28 iron large caliber ammo (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_SHIFT_L]
	[REAGENT:A:150:BAR:NONE:INORGANIC:IRON]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:3:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_LARGE_STEEL_PRISM]
	[NAME:make 28 steel large caliber ammo (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_E]
	[REAGENT:A:150:BAR:NONE:INORGANIC:STEEL]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:3:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_LARGE_STELLARITE_PRISM]
	[NAME:make 28 stellarite large caliber ammo (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_SHIFT_E]
	[REAGENT:A:150:BAR:NONE:INORGANIC:STELLARITE]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:3:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_LARGE_EXPLOSIVE_PRISM]
	[NAME:make 28 explosive large caliber ammo (prism)]
	[BUILDING:FORGE_PRISM_MWT:CUSTOM_ALT_E]
	[REAGENT:A:150:BAR:NONE:INORGANIC:STEEL]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:1:TOY:ITEM_EXPLOSIVES:NONE:NONE]
	[REAGENT:D:3:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE_EXPLOSIVE:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE_EXPLOSIVE:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]
